,trip_id,year,month,week,day,hour,usertype,gender,starttime,stoptime,tripduration,temperature,events,from_station_id,from_station_name,latitude_start,longitude_start,dpcapacity_start,to_station_id,to_station_name,latitude_end,longitude_end,dpcapacity_end,startTimeSeconds,stopTimeSeconds,timeDelta
4504391,9575032,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:57:00,2016-05-17 09:07:00,9.916666666666666,48.9,cloudy,144,Larrabee St & Webster Ave,41.921822,-87.64414000000002,15.0,48,Larrabee St & Kingsbury St,41.897764,-87.642884,27.0,32220.0,32820.0,600.0
4504392,9575031,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:57:00,2016-05-17 09:10:00,12.183333333333335,48.9,cloudy,192,Canal St & Adams St,41.879255,-87.639904,47.0,24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,15.0,32220.0,33000.0,780.0
4504393,9575030,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:57:00,2016-05-17 09:14:00,16.266666666666666,48.9,cloudy,77,Clinton St & Madison St,41.882242,-87.64106600000002,31.0,122,Ogden Ave & Congress Pkwy,41.875009999999996,-87.67328,15.0,32220.0,33240.0,1020.0
4504394,9575029,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:57:00,2016-05-17 09:08:00,11.116666666666667,48.9,cloudy,86,Eckhart Park,41.896373,-87.660984,15.0,133,Kingsbury St & Kinzie St,41.889177000000004,-87.638506,27.0,32220.0,32880.0,660.0
4504395,9575028,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:57:00,2016-05-17 09:20:00,23.16666666666667,48.9,cloudy,305,Western Ave & Division St,41.902893,-87.687275,15.0,49,Dearborn St & Monroe St,41.88132,-87.629521,27.0,32220.0,33600.0,1380.0
4504396,9575026,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:57:00,2016-05-17 09:10:00,12.966666666666667,48.9,cloudy,48,Larrabee St & Kingsbury St,41.897764,-87.642884,27.0,286,Franklin St & Quincy St,41.878724,-87.634793,23.0,32220.0,33000.0,780.0
4504397,9575025,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:57:00,2016-05-17 09:01:00,4.366666666666666,48.9,cloudy,100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,23.0,53,Wells St & Huron St,41.894729,-87.633775,19.0,32220.0,32460.0,240.0
4504398,9575022,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:56:00,2016-05-17 09:19:00,22.98333333333333,48.9,cloudy,180,Ritchie Ct & Banks St,41.906782,-87.626402,15.0,216,California Ave & Division St,41.903029,-87.697474,15.0,32160.0,33540.0,1380.0
4504399,9575021,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:56:00,2016-05-17 09:00:00,3.883333333333333,48.9,cloudy,74,Kingsbury St & Erie St,41.893882,-87.641711,23.0,212,Orleans St & Ohio St,41.892154,-87.636928,23.0,32160.0,32400.0,240.0
4504400,9575015,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:56:00,2016-05-17 09:10:00,13.416666666666664,48.9,cloudy,35,Streeter Dr & Grand Ave,41.89227800000001,-87.612043,47.0,45,Michigan Ave & Congress Pkwy,41.876243,-87.624426,15.0,32160.0,33000.0,840.0
