,maleCount,femaleCount,goingDT,leavingDT
425,28,15,12,7
426,29,13,10,4
427,33,12,9,4
428,34,13,10,5
429,29,15,10,5
430,31,16,12,5
431,34,17,12,6
432,35,16,12,6
433,40,15,13,6
434,47,14,16,7
435,54,14,19,8
436,53,12,18,7
437,54,10,17,7
438,63,8,22,6
439,64,9,21,5
440,63,11,24,7
441,68,10,23,7
442,66,10,25,7
443,70,10,26,9
444,68,10,24,10
445,72,10,26,9
446,74,13,26,8
447,74,14,25,9
448,71,18,22,10
449,73,17,23,13
450,71,16,21,12
451,67,19,20,14
452,68,19,21,14
453,63,17,18,11
454,61,17,18,8
455,56,15,18,8
456,59,18,21,10
457,61,19,22,9
458,61,19,22,9
459,63,18,24,7
460,64,20,26,8
461,70,23,30,9
462,67,24,30,7
463,68,26,31,8
464,68,28,32,9
465,69,30,31,9
466,70,30,31,12
467,78,28,34,12
468,81,31,33,13
469,87,29,36,16
470,83,26,34,17
471,77,28,31,18
472,76,25,29,17
473,77,24,26,15
474,76,26,30,17
475,76,26,30,16
476,80,26,30,13
477,86,28,28,14
478,83,27,23,13
479,76,25,25,13
480,73,24,23,14
481,70,20,22,13
482,66,19,19,11
483,68,23,18,12
484,74,25,21,12
485,77,21,23,13
486,72,22,23,11
487,72,21,24,12
488,69,21,23,12
489,69,22,22,11
490,70,22,19,8
491,73,23,18,8
492,75,23,18,8
493,77,24,19,11
494,83,24,20,12
495,92,23,23,13
496,88,27,24,13
497,88,26,24,9
498,94,27,26,9
499,103,25,31,9
500,110,27,37,12
501,109,29,44,13
502,104,28,44,11
503,101,34,45,12
504,108,34,45,14
505,114,34,42,13
506,111,34,42,14
507,109,33,43,15
508,113,30,46,13
509,117,29,49,13
510,118,30,50,16
511,124,28,54,16
512,123,28,56,18
513,121,27,56,20
514,117,26,57,22
515,130,24,63,24
516,136,23,60,19
517,134,20,58,14
518,135,22,63,13
519,139,24,68,19
520,137,21,67,16
521,140,22,72,17
522,143,22,74,17
523,143,21,72,17
524,140,25,71,17
525,135,25,66,14
526,130,26,67,14
527,134,24,59,15
528,138,21,63,17
529,153,22,70,19
530,149,22,72,21
531,137,25,72,19
532,136,27,70,22
533,135,30,67,20
534,132,32,67,19
535,133,33,62,16
536,125,30,56,15
537,119,29,53,13
538,115,28,50,10
539,109,25,48,10
540,101,27,46,10
541,95,25,43,9
542,93,30,44,11
543,93,31,46,10
544,100,34,46,11
545,100,34,48,11
546,91,32,42,8
547,87,30,40,5
548,83,29,37,4
549,84,31,40,9
550,79,27,38,11
551,81,26,36,9
552,80,26,35,10
553,78,23,37,10
554,76,21,37,9
555,67,21,34,6
556,69,25,33,6
557,65,28,33,6
558,65,26,34,6
559,68,26,32,8
560,60,26,29,6
561,58,26,30,7
562,57,27,29,4
563,56,24,29,4
564,52,24,28,3
565,54,23,30,4
566,56,23,31,4
567,53,22,26,4
568,51,20,26,4
569,46,18,24,4
570,46,17,23,6
571,48,16,24,6
572,45,12,20,6
573,47,13,24,6
574,49,12,23,7
575,47,13,20,6
576,45,11,20,6
577,48,12,17,6
578,52,12,17,6
579,48,12,18,5
580,44,12,18,5
581,41,11,17,6
582,41,11,16,4
583,42,10,17,4
584,41,10,17,4
585,42,12,16,4
586,44,15,15,7
587,38,13,13,6
588,37,13,12,7
589,34,17,12,7
590,36,19,13,7
591,33,18,14,8
592,33,17,14,8
593,33,15,13,10
594,36,16,14,11
595,28,16,10,9
596,23,13,8,8
597,24,13,8,8
598,22,13,9,6
599,24,14,11,7
600,26,14,11,7
601,23,14,8,7
602,24,12,9,7
603,23,14,9,6
604,25,13,11,6
605,26,14,11,4
606,23,14,13,5
607,25,11,13,5
608,27,10,12,4
609,28,10,12,4
610,28,8,12,5
611,31,9,12,5
612,29,8,10,3
